@id,@lat,@lon,name,website,addr:street,opening_hours
2377937978,41.1084477,20.8123651,Restoran Gros,,,
2377938382,41.1028959,20.8148703,Ресторан Билјанини Извори,,,
2377968960,41.1127562,20.8086261,,,,
2377968987,41.1120004,20.8091572,,,,
2377969305,41.1126257,20.7987652,,,,
2377969373,41.1041510,20.8079475,,,,
2759066732,41.1123103,20.8011769,Белведере,,,
3005348015,41.1163875,20.8006074,,,,
3005348016,41.1163410,20.8002909,Meydan,,,
3100113750,41.1140172,20.8026136,Фopтунa,,Димитар Влахов,Mo-Su 07:00-24:00
3428427693,41.1154200,20.8000470,Pizzeria Americano,,,
3428428993,41.1159660,20.8000880,,,,
3826400404,41.1119481,20.8015550,Ривиера,,,
3826400416,41.1104511,20.8039749,Ла Бела,,,
3826400434,41.1095360,20.8052329,Royal View,,,
4253086993,41.1166205,20.8011081,Dr. Falafel,,7 Ноември,Mo-Sa 09:30-22:30  Su 16:00-23:00
4283863605,41.1124024,20.7972577,Ресторан Антико,,,
4429141992,41.1168867,20.7986796,Brioni 2008,,,
4429142391,41.1169309,20.7985841,Exclusive Art Cuisine,,,
4879772021,41.1148473,20.7934666,Гладиатор,,,
4884870823,41.1109837,20.7905430,Кај Каневче,,,
4986923021,41.1121780,20.7982792,Порта,,,
4993144523,41.1118507,20.7969483,Далга,,,
5075880321,41.0902867,20.7991080,БИЧ ЕНД ЛОУНЏ ЏОВАНИ,,Naum Ohridski,Mo-Sa 08:00-01:00; Su 09:00-00:00
5107879522,41.1121065,20.7954009,,,,
5108011329,41.1118748,20.7971539,,,,
5448461921,41.1122361,20.7981623,Пица Александриа,http://www.pizzanemo.com,Цар Самоил,Su-Th 09:00-00:00; Fr-Sa 09:00-01:00
5602643621,41.1121475,20.7980562,Pizza Aleksandrija,,,
5625896923,41.1166966,20.7992364,,,,
5890717249,41.1069789,20.8075280,Ristorante Stazione,,,
5897434185,41.1259308,20.8157042,Ресторан Панорама,,,Mo-Su 07:00-23:55
5942100285,41.1124235,20.7980320,Kaj Ksantani Restaurant,,,
6393028782,41.1156043,20.8012066,Macedonska Sofra,,,
6393029979,41.1133047,20.7995680,Letnica Kitchen & Bar,,,
6419154286,41.1118551,20.7971991,,,,
6553038892,41.0911484,20.8000190,Divono,,,
6556622586,41.1066934,20.8098566,Ресторан Орфеј,,Партизанска,Mo-Su 08:00-23:00
6657130385,41.1122342,20.7983919,,,,
6831632793,41.1145687,20.8003256,Alpi,,,
6831648796,41.1119760,20.8078783,Leopard,,,
6831648800,41.1103498,20.8056915,Amfora,,,
6831648890,41.1122508,20.8070573,Centro,,,
6831648891,41.1139038,20.8107333,Pizzeria,,,
6833100785,41.1117071,20.8049184,Europa,,,
6834463391,41.1069136,20.8097800,Orfej,,,
6837039887,41.1079577,20.8066516,Madera,,,
8601528017,41.1162839,20.8040422,,,,
9038574017,41.1126502,20.7986382,,,,
9040234627,41.1130145,20.8048774,oTTo,https://www.facebook.com/otto.good.mood.food,Dimitar Vlahov,11:00
9161033019,41.1166832,20.8013591,Corner,,,
9161046817,41.1182878,20.8000296,Kaj Tzitzo,,,
9200216156,41.1162475,20.7986294,,,,
9200216723,41.1108108,20.7915880,Potpes,,,
